complaint_id,complaint_text,category,submitted_via,created_date
100244,Need clarification regarding company?? policy this is unacceptable,Other,Chat,17-03-2024
100245,Late fee applied even though I paid on time happening for the last## 3 days,Billing,Phone,14-10-2024
100246,Unable to login to## my account please resolve asap,Account Management,Phone,11-09-2024
100247,Unauthorized changes made to my account please resolve asap,Account Management,Phone,27-05-2024
100248,<p>Very unhappy with the overall service. this is unacceptable</p>,Other,Phone,27-07-2024
100249,Facing error code while! using the service please resolve asap,Technical Support,Phone,17-01-2024
100250,<p>Customer<br>support did not respond to!! my emails need urgent help</p>,Other,Website,23-03-2024
100251,Late<br>fee applied even though I paid on time this is unacceptable,Billing,Phone,14-06-2024
100252,Internet connection keeps. dropping frequently this is unacceptable,Technical Support,Website,09-10-2024
100253,Facing issues updating account details please resolve. asap,Account Management,Chat,17-01-2024
100254,Missing components in the package need! urgent help,Product Issue,Email,09-05-2024
100255,Service experience was poor please resolve asap,Other,Phone,25-01-2024
100256,"<i>Facing issues, updating account details this is unacceptable</i>",Account Management,Email,04-04-2024
100257,Unexpected<br>charges added without notification no response! from support,Billing,Email,29-06-2024
100258,App crashes whenever I try to open it? please resolve asap,Technical Support,Email,28-01-2024
100259,My payment. was successful but the bill still shows unpaid please resolve asap,Billing,Website,01-10-2024
100260,"Late fee applied even though I paid, on time this is unacceptable",Billing,Email,26-01-2024
100261,Unexpected charges added without notification this is unacceptable,Billing,Phone,21-02-2024
100262,<b>I was charged twice for my last bill## this is unacceptable</b>,Billing,Website,15-09-2024
100263,<i>Service experience was poor## please resolve asap</i>,Other,Phone,24-08-2024
100264,Customer support did not respond to my emails please resolve asap,Other,Email,05-04-2024
100265,Unauthorized<br>changes made to my account this is unacceptable,Account Management,Website,24-05-2024
100266,Product quality is not! as advertised no response from support,Product Issue,Phone,14-05-2024
100267,<p>Unable<br>to connect to the server no response from support</p>,Technical Support,Chat,24-08-2024
100268,<p>App crashes whenever I try to open it no response? from support</p>,Technical Support,Website,23-03-2024
100269,<i>The product stopped working within a week this is unacceptable</i>,Product Issue,Phone,10-10-2024
100270,App crashes whenever I try to open it need urgent help,Technical Support,Email,20-07-2024
100271,Facing error code while using the service this is unacceptable,Technical Support,Email,21-02-2024
100272,My payment was successful but the... bill still shows unpaid no response from support,Billing,Email,04-01-2024
100273,<p>Facing issues updating account details happening for! the last 3 days</p>,Account Management,Website,21-09-2024
100274,Facing issues updating account details this is... unacceptable,Account Management,Email,23-02-2024
100275,App<br>crashes whenever I try to open it no response from support,Technical Support,Email,14-07-2024
100276,My payment? was successful but the bill still shows unpaid please resolve asap,Billing,Email,26-04-2024
100277,Late<br>fee applied even though I paid on time happening for the last 3 days,Billing,Email,05-10-2024
100278,The product stopped working within a week please resolve asap,Product Issue,Chat,02-06-2024
100279,"Unauthorized<br>changes made to my, account please resolve asap",Account Management,Email,08-07-2024
100280,"Service experience was poor, no response from support",Other,Email,14-03-2024
100281,Password reset link is not working need urgent help,Account Management,Chat,01-06-2024
100282,Facing error code. while using the service please resolve asap,Technical Support,Email,05-04-2024
100283,Product<br>quality is not as advertised this?? is unacceptable,Product Issue,Chat,29-02-2024
100284,I want to file a general complaint please resolve asap,Other,Phone,21-03-2024
100285,Product quality is not as advertised no response from support,Product Issue,Phone,09-02-2024
100286,<p>Unable<br>to login to my account? please resolve asap</p>,Account Management,Phone,25-08-2024
100287,<i>Facing<br>issues updating account details happening for the last 3 days</i>,Account Management,Email,08-05-2024
100288,<b>Unable to login to my account please? resolve asap</b>,Account Management,Email,07-08-2024
100289,Missing<br>components in the package. need urgent help,Product Issue,Chat,23-04-2024
100290,Unauthorized changes made to my account? no response from support,Account Management,Chat,16-01-2024
100291,"The<br>item does not function as expected, please resolve asap",Product Issue,Phone,22-05-2024
100292,Unexpected charges added without notification happening for the?? last 3 days,Billing,Chat,21-02-2024
100293,App crashes whenever I try to open it no response from support,Technical Support,Chat,25-04-2024
100294,<b>Unable<br>to login to! my account please resolve asap</b>,Account Management,Phone,03-01-2024
100295,The website is extremely slow and unresponsive? this is unacceptable,Technical Support,Chat,02-04-2024
100296,Customer support did not respond to my emails this is unacceptable,Other,Chat,09-03-2024
100297,Unable<br>to login to my account this?? is unacceptable,Account Management,Chat,08-04-2024
100298,Password reset link is not working no response from? support,Account Management,Email,31-07-2024
100299,Very unhappy with?? the overall service happening for the last 3 days,Other,Email,05-07-2024
100300,Late fee... applied even though I paid on time need urgent help,Billing,Chat,22-04-2024
100301,<i>Facing issues updating account? details please resolve asap</i>,Account Management,Phone,17-05-2024
100302,The item does not! function as expected happening for the last 3 days,Product Issue,Phone,04-04-2024
100303,<i>Unexpected charges added without notification need urgent help</i>,Billing,Email,06-01-2024
100304,Unauthorized changes made to my account please. resolve asap,Account Management,Chat,24-07-2024
100305,Facing<br>issues updating account! details this is unacceptable,Account Management,Website,20-01-2024
100306,<b>Facing issues updating account details## happening for the last 3 days</b>,Account Management,Chat,01-04-2024
100307,<b>The item... does not function as expected need urgent help</b>,Product Issue,Chat,30-05-2024
100308,"Unexpected charges added without, notification please resolve asap",Billing,Chat,15-06-2024
100309,Unauthorized changes made to my? account please resolve asap,Account Management,Website,07-09-2024
100310,"The<br>website is extremely slow, and unresponsive no response from support",Technical Support,Email,20-07-2024
100311,Missing components... in the package this is unacceptable,Product Issue,Phone,30-07-2024
100312,<b>App crashes whenever I try to open it please resolve asap</b>,Technical Support,Phone,23-02-2024
100313,"<p>I want to file a general complaint, please resolve asap</p>",Other,Phone,23-08-2024
100314,My account was locked without!! reason please resolve asap,Account Management,Email,09-05-2024
100315,Received a damaged product no response from## support,Product Issue,Phone,23-01-2024
100316,"<i>The product stopped working within a week, please resolve asap</i>",Product Issue,Chat,25-08-2024
100317,My account was locked?? without reason this is unacceptable,Account Management,Email,20-02-2024
100318,Unable to login to my account need urgent help,Account Management,Chat,30-01-2024
100319,Incorrect charges have appeared on my invoice## no response from support,Billing,Website,18-02-2024
100320,<p>The<br>item does not function as expected this is unacceptable</p>,Product Issue,Email,06-09-2024
100321,The item does not function as## expected this is unacceptable,Product Issue,Email,14-10-2024
100322,<p>Very unhappy with the overall## service this is unacceptable</p>,Other,Phone,21-08-2024
100323,The website is extremely slow and unresponsive happening for the last 3 days,Technical Support,Phone,08-05-2024
100324,Very unhappy with... the overall service this is unacceptable,Other,Email,22-07-2024
100325,My<br>payment was successful but the bill still shows unpaid need urgent help,Billing,Chat,19-10-2024
100326,<i>Very<br>unhappy with... the overall service this is unacceptable</i>,Other,Email,10-02-2024
100327,"Very<br>unhappy with, the overall service this is unacceptable",Other,Phone,17-03-2024
100328,<p>The<br>website is extremely slow and unresponsive happening for the last 3 days</p>,Technical Support,Chat,06-09-2024
100329,<i>Unexpected charges added without notification need urgent help</i>,Billing,Phone,17-05-2024
100330,Password<br>reset link is not working happening for the last 3 days,Account Management,Phone,10-07-2024
100331,Unable to connect to the server happening## for the last 3 days,Technical Support,Phone,22-02-2024
100332,<b>Unexpected<br>charges added without notification no response from support</b>,Billing,Website,17-03-2024
100333,Very unhappy with the overall service... this is unacceptable,Other,Chat,27-06-2024
100334,<i>I was charged twice for my last bill happening for the last 3 days</i>,Billing,Phone,16-04-2024
100335,"<p>Facing issues updating account details happening, for the last 3 days</p>",Account Management,Chat,11-08-2024
100336,Incorrect charges have appeared on my invoice please resolve asap,Billing,Website,17-03-2024
100337,<i>App crashes whenever I try! to open it please resolve asap</i>,Technical Support,Phone,23-02-2024
100338,Unable to login to my account happening. for the last 3 days,Account Management,Email,13-01-2024
100339,"<i>I want to file, a general complaint need urgent help</i>",Other,Email,21-03-2024
100340,<i>Need clarification regarding company policy? this is unacceptable</i>,Other,Chat,16-01-2024
100341,<i>I want to file a general complaint no response from support</i>,Other,Website,18-02-2024
100342,<p>Need clarification regarding company policy happening for the last 3. days</p>,Other,Phone,07-06-2024
100343,Very unhappy with the overall service this is unacceptable,Other,Website,01-08-2024
100344,I want to file a general complaint this is unacceptable,Other,Phone,22-01-2024
100345,Late fee applied even though I paid on time no response from support,Billing,Email,14-04-2024
100346,<i>Need clarification regarding company. policy please resolve asap</i>,Other,Email,10-08-2024
100347,Service experience was poor please resolve!! asap,Other,Chat,23-05-2024
100348,<i>The<br>item does not function as expected no response from support</i>,Product Issue,Website,08-03-2024
100349,My payment was successful. but the bill still shows unpaid need urgent help,Billing,Chat,28-02-2024
100350,"Product quality is not as advertised happening for the, last 3 days",Product Issue,Email,07-03-2024
100351,Customer support did not respond to my emails no## response from support,Other,Email,07-04-2024
