complaint_id,complaint_text,category,submitted_via,created_date,cleaned_text
100026,<b>Poor service and lack of proper support no response from support</b>,Other,Email,15-05-2024,poor service lack proper support response support
100027,<i>Lost access to my account after recent update no response from support</i>,Account Management,Chat,25-10-2024,lose access account recent update response support
100028,<i>Matchmaking is unfair and places me with very high-level players happening for the last 3 days</i>,Product Issue,Email,04-05-2024,matchmaking unfair place high level player happen last day
100029,Unable to log in to my GAME-ON account no response from support,Account Management,Website,08-03-2024,unable log game account response support
100030,"Refund for cancelled purchase, has not been received need urgent help",Billing,Chat,10-10-2024,refund cancel purchase receive need urgent help
100031,<i>Password reset email is not... arriving need urgent help</i>,Account Management,Website,07-01-2024,password reset email arrive need urgent help
100032,<i>Game updates fail to install properly no response from support</i>,Technical Support,Email,12-04-2024,game update fail install properly response support
100033,Someone else accessed my GAME-ON account happening for the last 3 days,Account Management,Phone,28-05-2024,someone else access game account happen last day
100034,"Customer support is not responding to, my tickets no response from support",Other,Email,01-01-2024,customer support respond ticket response support
100035,"<b>I want to give, feedback about the game this is unacceptable</b>",Other,Chat,29-03-2024,want give feedback game unacceptable
100036,Achievements<br>are not unlocking as expected no response from## support,Product Issue,Phone,17-03-2024,achievement unlock expect response support
100037,<p>GAME-ON<br>crashes every. time I try to start a match this is unacceptable</p>,Technical Support,Phone,26-04-2024,game crash every time try start match unacceptable
100038,<b>Poor<br>service and lack of proper support no response from support</b>,Other,Email,16-02-2024,poor service lack proper support response support
100039,I<br>was charged twice for an in-game purchase! this is unacceptable,Billing,Website,20-10-2024,charge twice game purchase unacceptable
100040,Very<br>disappointed with?? the overall GAME-ON experience happening for the last 3 days,Other,Email,17-10-2024,disappointed overall game experience happen last day
100041,"Poor service and lack, of proper support happening for the last 3 days",Other,Website,09-04-2024,poor service lack proper support happen last day
100042,<p>Refund for cancelled purchase has not been received happening for the last 3 days</p>,Billing,Website,26-08-2024,refund cancel purchase receive happen last day
100043,Unable to connect to GAME-ON servers happening! for the last 3 days,Technical Support,Chat,28-05-2024,unable connect game server happen last day
100044,Very disappointed with! the overall GAME-ON experience need urgent help,Other,Chat,02-01-2024,disappointed overall game experience need urgent help
100045,<b>My<br>account was banned without any explanation no response from support</b>,Account Management,Phone,18-05-2024,account ban without explanation response support
100046,High ping and severe lag while playing online matches happening for the last 3 days,Technical Support,Website,24-04-2024,high ping severe lag play online match happen last day
100047,Subscription payment?? succeeded but premium features are locked this is unacceptable,Billing,Email,26-06-2024,subscription payment succeed premium feature lock unacceptable
100048,Unable to log in to my GAME-ON!! account happening for the last 3 days,Account Management,Email,24-07-2024,unable log game account happen last day
100049,"Password reset email is not, arriving happening for the last 3 days",Account Management,Phone,01-01-2024,password reset email arrive happen last day
100050,<p>Voice<br>chat is not working## during multiplayer games this is unacceptable</p>,Technical Support,Website,12-09-2024,voice chat work multiplayer game unacceptable
100051,<p>Purchased<br>skins are not showing in my inventory this is!! unacceptable</p>,Product Issue,Website,17-02-2024,purchase skin show inventory unacceptable
100052,Game<br>advertisements are too frequent and annoying happening for the last 3 days,Other,Email,31-07-2024,game advertisement frequent annoying happen last day
100053,GAME-ON keeps showing network error despite stable internet this. is unacceptable,Technical Support,Website,26-02-2024,game keep show network error despite stable internet unacceptable
100054,<p>Need<br>clarification## about GAME-ON policies this is unacceptable</p>,Other,Chat,10-05-2024,need clarification game policy unacceptable
100055,Poor<br>service and lack... of proper support please resolve asap,Other,Website,26-05-2024,poor service lack proper support please resolve asap
100056,<i>Password<br>reset email is not arriving need urgent help</i>,Account Management,Website,21-02-2024,password reset email arrive need urgent help
100057,<p>Achievements are not unlocking as... expected need urgent help</p>,Product Issue,Phone,01-05-2024,achievement unlock expect need urgent help
100058,The app experience has! worsened after recent updates need urgent help,Other,Chat,22-07-2024,app experience worsen recent update need urgent help
100059,Money was deducted but game coins were not credited happening for the last... 3 days,Billing,Website,21-04-2024,money deduct game coin credit happen last day
100060,<b>Achievements<br>are not!! unlocking as expected please resolve asap</b>,Product Issue,Phone,13-10-2024,achievement unlock expect please resolve asap
100061,Refund<br>for cancelled purchase has not been received?? need urgent help,Billing,Email,31-08-2024,refund cancel purchase receive need urgent help
100062,<b>In-game<br>rewards are## not credited after completing missions please resolve asap</b>,Product Issue,Website,11-06-2024,game reward credit complete mission please resolve asap
100063,"Matchmaking<br>is unfair and places me with very high-level, players happening for the last 3 days",Product Issue,Email,07-08-2024,matchmaking unfair place high level player happen last day
100064,<p>Purchased<br>skins are not showing in my inventory this is unacceptable</p>,Product Issue,Chat,18-06-2024,purchase skin show inventory unacceptable
100065,Very disappointed with the overall GAME-ON! experience happening for the last 3 days,Other,Website,10-10-2024,disappointed overall game experience happen last day
100066,Voice chat is not working during multiplayer games please resolve## asap,Technical Support,Website,17-09-2024,voice chat work multiplayer game please resolve asap
100067,Payment<br>failed but amount was deducted from my bank happening for the last 3 days,Billing,Chat,29-04-2024,payment fail amount deduct bank happen last day
100068,<b>GAME-ON crashes every time I try to start a match need## urgent help</b>,Technical Support,Email,03-04-2024,game crash every time try start match need urgent help
100069,Unable to log in to## my GAME-ON account no response from support,Account Management,Website,15-02-2024,unable log game account response support
100070,Game characters are unbalanced and unfair this is. unacceptable,Product Issue,Website,30-03-2024,game character unbalanced unfair unacceptable
100071,Unable to log in to my GAME-ON?? account this is unacceptable,Account Management,Chat,12-09-2024,unable log game account unacceptable
100072,"<b>Need clarification about GAME-ON policies happening for, the last 3 days</b>",Other,Phone,24-10-2024,need clarification game policy happen last day
100073,"My<br>account was banned without any, explanation happening for the last 3 days",Account Management,Chat,20-02-2024,account ban without explanation happen last day
100074,In-game rewards are not credited after completing missions no response from support,Product Issue,Phone,13-07-2024,game reward credit complete mission response support
100075,<b>Very<br>disappointed with the overall GAME-ON experience need urgent help</b>,Other,Email,01-05-2024,disappointed overall game experience need urgent help
100076,<i>Unable to. link my social media account to GAME-ON please resolve asap</i>,Account Management,Website,15-02-2024,unable link social medium account game please resolve asap
100077,<p>Account progress disappeared after! logging in please resolve asap</p>,Account Management,Phone,18-04-2024,account progress disappear log please resolve asap
100078,The app experience has worsened after recent updates this is... unacceptable,Other,Chat,01-05-2024,app experience worsen recent update unacceptable
100079,<b>Poor service and lack of proper support need urgent help</b>,Other,Phone,14-08-2024,poor service lack proper support need urgent help
100080,<i>GAME-ON keeps showing network error despite stable internet happening! for the last 3 days</i>,Technical Support,Phone,06-05-2024,game keep show network error despite stable internet happen last day
100081,Game characters are unbalanced and unfair!! need urgent help,Product Issue,Chat,21-03-2024,game character unbalanced unfair need urgent help
100082,<i>GAME-ON crashes every time I. try to start a match please resolve asap</i>,Technical Support,Chat,06-04-2024,game crash every time try start match please resolve asap
100083,<p>Purchased skins are not showing in my inventory need urgent?? help</p>,Product Issue,Phone,03-09-2024,purchase skin show inventory need urgent help
100084,<i>Purchased skins are not showing in my inventory happening for. the last 3 days</i>,Product Issue,Email,04-06-2024,purchase skin show inventory happen last day
100085,High ping and severe lag while playing online matches happening for the last 3 days,Technical Support,Website,19-07-2024,high ping severe lag play online match happen last day
100086,GAME-ON keeps?? showing network error despite stable internet no response from support,Technical Support,Phone,22-09-2024,game keep show network error despite stable internet response support
100087,My account was banned!! without any explanation happening for the last 3 days,Account Management,Website,29-02-2024,account ban without explanation happen last day
100088,"In-game rewards are not credited after completing missions this is, unacceptable",Product Issue,Phone,16-03-2024,game reward credit complete mission unacceptable
100089,Unable<br>to. link my social media account to GAME-ON need urgent help,Account Management,Website,22-01-2024,unable link social medium account game need urgent help
100090,"<i>Password reset email is not arriving happening, for the last 3 days</i>",Account Management,Email,14-08-2024,password reset email arrive happen last day
100091,<i>The app?? experience has worsened after recent updates need urgent help</i>,Other,Website,20-06-2024,app experience worsen recent update need urgent help
100092,Unable to connect to GAME-ON servers? need urgent help,Technical Support,Phone,08-07-2024,unable connect game server need urgent help
100093,<i>GAME-ON keeps showing network error despite stable internet happening for the last 3 days</i>,Technical Support,Email,21-09-2024,game keep show network error despite stable internet happen last day
100094,<i>Money was deducted but game coins were not credited happening for the last 3 days</i>,Billing,Website,19-01-2024,money deduct game coin credit happen last day
100095,<p>Very disappointed with the overall## GAME-ON experience no response from support</p>,Other,Email,19-06-2024,disappointed overall game experience response support
100096,The app experience has worsened after recent updates no response from support,Other,Website,07-07-2024,app experience worsen recent update response support
100097,Payment failed but## amount was deducted from my bank no response from support,Billing,Chat,19-01-2024,payment fail amount deduct bank response support
100098,Need clarification about GAME-ON policies no response from support,Other,Website,16-09-2024,need clarification game policy response support
100099,Need clarification about GAME-ON... policies please resolve asap,Other,Website,25-06-2024,need clarification game policy please resolve asap
100100,<b>Refund for cancelled purchase has not been received## need urgent help</b>,Billing,Website,25-05-2024,refund cancel purchase receive need urgent help
100101,Achievements are not unlocking as expected?? this is unacceptable,Product Issue,Chat,06-05-2024,achievement unlock expect unacceptable
100102,<b>Subscription payment succeeded but premium features are locked this is unacceptable</b>,Billing,Chat,03-10-2024,subscription payment succeed premium feature lock unacceptable
100103,"<p>Game updates fail to install properly, need urgent help</p>",Technical Support,Chat,30-08-2024,game update fail install properly need urgent help
100104,Purchased<br>skins are not showing. in my inventory this is unacceptable,Product Issue,Website,17-04-2024,purchase skin show inventory unacceptable
100105,The app experience has worsened after recent updates this is. unacceptable,Other,Phone,09-06-2024,app experience worsen recent update unacceptable
100106,<p>I was charged## twice for an in-game purchase please resolve asap</p>,Billing,Chat,15-01-2024,charge twice game purchase please resolve asap
100107,<p>Money<br>was deducted but game coins were not credited... this is unacceptable</p>,Billing,Phone,31-03-2024,money deduct game coin credit unacceptable
100108,<p>Billing amount is higher than what was shown in the app need urgent help</p>,Billing,Phone,08-06-2024,billing amount high show app need urgent help
100109,<i>Need<br>clarification? about GAME-ON policies need urgent help</i>,Other,Email,23-05-2024,need clarification game policy need urgent help
100110,Account progress disappeared after logging in happening for the last 3 days,Account Management,Email,13-01-2024,account progress disappear log happen last day
100111,The<br>game freezes during gameplay and I lose? progress no response from support,Technical Support,Email,26-07-2024,game freeze gameplay lose progress response support
100112,"Need clarification about GAME-ON policies, no response from support",Other,Chat,22-06-2024,need clarification game policy response support
100113,My account was banned without any explanation need urgent help,Account Management,Phone,09-06-2024,account ban without explanation need urgent help
100114,<i>Password<br>reset email is not! arriving please resolve asap</i>,Account Management,Phone,17-05-2024,password reset email arrive please resolve asap
100115,"Subscription<br>payment succeeded but, premium features are locked please resolve asap",Billing,Phone,23-03-2024,subscription payment succeed premium feature lock please resolve asap
100116,Unable to connect to GAME-ON servers. happening for the last 3 days,Technical Support,Email,04-03-2024,unable connect game server happen last day
100117,<b>Lost<br>access to my account after recent update need... urgent help</b>,Account Management,Email,27-09-2024,lose access account recent update need urgent help
100118,Need clarification about! GAME-ON policies happening for the last 3 days,Other,Chat,26-03-2024,need clarification game policy happen last day
100119,In-game rewards are not credited. after completing missions please resolve asap,Product Issue,Phone,20-03-2024,game reward credit complete mission please resolve asap
100120,Unable to connect to GAME-ON servers this is unacceptable,Technical Support,Phone,24-10-2024,unable connect game server unacceptable
100121,"Matchmaking is unfair and places me with very high-level players happening for, the last 3 days",Product Issue,Phone,15-01-2024,matchmaking unfair place high level player happen last day
100122,The app experience has worsened after recent updates this is unacceptable,Other,Email,16-04-2024,app experience worsen recent update unacceptable
100123,High ping and severe lag while! playing online matches no response from support,Technical Support,Chat,06-07-2024,high ping severe lag play online match response support
100124,"I want to give feedback about the game, no response from support",Other,Phone,23-06-2024,want give feedback game response support
100125,I<br>was charged twice for an in-game purchase happening for the last 3 days,Billing,Email,06-10-2024,charge twice game purchase happen last day
100126,<b>Customer<br>support is not. responding to my tickets this is unacceptable</b>,Other,Phone,18-05-2024,customer support respond ticket unacceptable
100127,<b>Purchased skins are not showing in my inventory this is unacceptable</b>,Product Issue,Phone,20-08-2024,purchase skin show inventory unacceptable
100128,<p>Game advertisements are too frequent... and annoying this is unacceptable</p>,Other,Chat,09-06-2024,game advertisement frequent annoying unacceptable
100129,Unable to log in to my!! GAME-ON account need urgent help,Account Management,Website,09-05-2024,unable log game account need urgent help
100130,<p>Refund for cancelled purchase has not been received happening for!! the last 3 days</p>,Billing,Email,09-07-2024,refund cancel purchase receive happen last day
100131,Daily challenges are missing in GAME-ON happening... for the last 3 days,Product Issue,Website,09-07-2024,daily challenge miss game happen last day
100132,Game advertisements are too frequent and annoying need?? urgent help,Other,Email,01-02-2024,game advertisement frequent annoying need urgent help
100133,Game<br>advertisements are too frequent and annoying need urgent? help,Other,Website,03-09-2024,game advertisement frequent annoying need urgent help
100134,Someone else accessed my GAME-ON account please resolve asap,Account Management,Website,28-06-2024,someone else access game account please resolve asap
100135,Someone else accessed. my GAME-ON account need urgent help,Account Management,Email,05-04-2024,someone else access game account need urgent help
100136,Game<br>characters are unbalanced and unfair please resolve. asap,Product Issue,Website,14-04-2024,game character unbalanced unfair please resolve asap
100137,Progress<br>is not saved after finishing levels this. is unacceptable,Product Issue,Chat,08-02-2024,progress save finish level unacceptable
100138,<b>Password<br>reset email is? not arriving need urgent help</b>,Account Management,Email,25-09-2024,password reset email arrive need urgent help
100139,The app experience has worsened after## recent updates no response from support,Other,Chat,06-08-2024,app experience worsen recent update response support
100140,Unable to link my social media account to GAME-ON!! no response from support,Account Management,Website,19-10-2024,unable link social medium account game response support
100141,<i>Daily<br>challenges are missing in GAME-ON no response from support</i>,Product Issue,Phone,24-10-2024,daily challenge miss game response support
100142,GAME-ON crashes every time I try to start a match?? this is unacceptable,Technical Support,Email,28-09-2024,game crash every time try start match unacceptable
100143,Poor service and lack of? proper support no response from support,Other,Website,03-10-2024,poor service lack proper support response support
100144,The game freezes during gameplay and I lose progress this is? unacceptable,Technical Support,Phone,18-05-2024,game freeze gameplay lose progress unacceptable
100145,<p>The app experience has worsened after recent updates need urgent help</p>,Other,Chat,10-04-2024,app experience worsen recent update need urgent help
100146,"<i>Game advertisements are too frequent and annoying happening for the, last 3 days</i>",Other,Chat,24-04-2024,game advertisement frequent annoying happen last day
100147,<b>Game advertisements are too frequent and annoying happening for the! last 3 days</b>,Other,Chat,12-03-2024,game advertisement frequent annoying happen last day
100148,I want to give feedback about the game happening for the last 3 days,Other,Website,16-01-2024,want give feedback game happen last day
100149,"<b>Password reset, email is not arriving no response from support</b>",Account Management,Website,30-08-2024,password reset email arrive response support
100150,Money was deducted but game coins. were not credited no response from support,Billing,Email,02-07-2024,money deduct game coin credit response support
100151,Subscription payment... succeeded but premium features are locked need urgent help,Billing,Phone,17-07-2024,subscription payment succeed premium feature lock need urgent help
100152,GAME-ON<br>crashes every time... I try to start a match please resolve asap,Technical Support,Website,31-01-2024,game crash every time try start match please resolve asap
100153,<b>Achievements are not unlocking as expected no response from support</b>,Product Issue,Website,15-05-2024,achievement unlock expect response support
100154,Payment failed but amount was deducted from my?? bank this is unacceptable,Billing,Chat,28-01-2024,payment fail amount deduct bank unacceptable
100155,<i>I<br>was charged twice for an in-game purchase happening for. the last 3 days</i>,Billing,Email,06-07-2024,charge twice game purchase happen last day
100156,"GAME-ON<br>crashes every time I try to start a, match no response from support",Technical Support,Email,25-08-2024,game crash every time try start match response support
100157,Unexpected charges appeared on my! GAME-ON account happening for the last 3 days,Billing,Email,30-04-2024,unexpected charge appear game account happen last day
100158,GAME-ON keeps showing network error? despite stable internet this is unacceptable,Technical Support,Chat,24-10-2024,game keep show network error despite stable internet unacceptable
100159,In-game rewards are not credited after completing missions please resolve asap,Product Issue,Email,27-07-2024,game reward credit complete mission please resolve asap
100160,In-game rewards are not credited after completing missions. this is unacceptable,Product Issue,Email,06-10-2024,game reward credit complete mission unacceptable
100161,Subscription<br>payment... succeeded but premium features are locked please resolve asap,Billing,Phone,04-05-2024,subscription payment succeed premium feature lock please resolve asap
100162,Voice chat is not working! during multiplayer games please resolve asap,Technical Support,Chat,02-03-2024,voice chat work multiplayer game please resolve asap
100163,Customer support## is not responding to my tickets need urgent help,Other,Email,07-09-2024,customer support respond ticket need urgent help
100164,<b>Money<br>was deducted but game coins were not credited happening for the last 3 days</b>,Billing,Chat,24-01-2024,money deduct game coin credit happen last day
100165,Password reset email is? not arriving please resolve asap,Account Management,Chat,29-03-2024,password reset email arrive please resolve asap
100166,The<br>app experience has worsened? after recent updates please resolve asap,Other,Website,26-04-2024,app experience worsen recent update please resolve asap
100167,<b>Payment<br>failed but amount was?? deducted from my bank this is unacceptable</b>,Billing,Phone,16-07-2024,payment fail amount deduct bank unacceptable
100168,<b>Subscription<br>payment succeeded but premium features are locked please resolve asap</b>,Billing,Website,15-07-2024,subscription payment succeed premium feature lock please resolve asap
100169,High ping and severe lag while playing!! online matches please resolve asap,Technical Support,Email,27-08-2024,high ping severe lag play online match please resolve asap
100170,<i>Money was deducted but game coins were! not credited please resolve asap</i>,Billing,Email,21-06-2024,money deduct game coin credit please resolve asap
100171,Game characters are unbalanced and unfair happening for the last## 3 days,Product Issue,Email,23-09-2024,game character unbalanced unfair happen last day
100172,<p>Payment failed but amount!! was deducted from my bank no response from support</p>,Billing,Chat,14-01-2024,payment fail amount deduct bank response support
100173,Achievements are not unlocking as expected please## resolve asap,Product Issue,Phone,07-07-2024,achievement unlock expect please resolve asap
100174,Unable to connect to GAME-ON servers need urgent help,Technical Support,Website,13-07-2024,unable connect game server need urgent help
100175,Achievements<br>are not unlocking as expected## this is unacceptable,Product Issue,Website,13-10-2024,achievement unlock expect unacceptable
100176,Password<br>reset email is not arriving happening for the last 3 days,Account Management,Chat,27-01-2024,password reset email arrive happen last day
100177,Payment failed but amount was deducted?? from my bank this is unacceptable,Billing,Website,21-05-2024,payment fail amount deduct bank unacceptable
100178,<b>Progress is not saved after finishing levels no response from support</b>,Product Issue,Chat,30-05-2024,progress save finish level response support
100179,My<br>account was banned without any explanation this is unacceptable,Account Management,Website,11-10-2024,account ban without explanation unacceptable
100180,Very disappointed with... the overall GAME-ON experience need urgent help,Other,Website,28-06-2024,disappointed overall game experience need urgent help
100181,GAME-ON<br>keeps showing network error despite stable internet need urgent help,Technical Support,Email,13-06-2024,game keep show network error despite stable internet need urgent help
100182,<p>Daily challenges are missing! in GAME-ON this is unacceptable</p>,Product Issue,Phone,23-08-2024,daily challenge miss game unacceptable
100183,My account was banned without## any explanation need urgent help,Account Management,Chat,19-09-2024,account ban without explanation need urgent help
100184,GAME-ON crashes every! time I try to start a match this is unacceptable,Technical Support,Phone,31-07-2024,game crash every time try start match unacceptable
100185,Matchmaking<br>is unfair and places## me with very high-level players need urgent help,Product Issue,Email,16-04-2024,matchmaking unfair place high level player need urgent help
100186,Account<br>progress disappeared after logging in?? this is unacceptable,Account Management,Website,08-02-2024,account progress disappear log unacceptable
100187,Very disappointed with the overall GAME-ON experience happening for the last 3 days,Other,Website,26-08-2024,disappointed overall game experience happen last day
100188,"<p>Game advertisements are, too frequent and annoying this is unacceptable</p>",Other,Phone,22-10-2024,game advertisement frequent annoying unacceptable
100189,The app experience has worsened after recent updates no response from? support,Other,Phone,12-07-2024,app experience worsen recent update response support
100190,<i>I want to give feedback about the game happening for the last 3 days</i>,Other,Chat,28-05-2024,want give feedback game happen last day
100191,GAME-ON crashes every time I try to start a match happening for? the last 3 days,Technical Support,Phone,19-09-2024,game crash every time try start match happen last day
100192,Lost<br>access to my account after recent update please resolve? asap,Account Management,Phone,29-06-2024,lose access account recent update please resolve asap
100193,<b>Voice<br>chat is not!! working during multiplayer games please resolve asap</b>,Technical Support,Chat,12-07-2024,voice chat work multiplayer game please resolve asap
100194,<i>The<br>app experience has worsened after recent updates no response from support</i>,Other,Website,11-08-2024,app experience worsen recent update response support
100195,<b>Payment failed but amount was deducted from my bank no response from support</b>,Billing,Website,16-01-2024,payment fail amount deduct bank response support
100196,Unable to connect to... GAME-ON servers this is unacceptable,Technical Support,Email,22-02-2024,unable connect game server unacceptable
100197,<i>Game characters are unbalanced and unfair no response from support</i>,Product Issue,Website,06-09-2024,game character unbalanced unfair response support
100198,<i>My account was banned without any explanation! no response from support</i>,Account Management,Email,15-07-2024,account ban without explanation response support
100199,I want to give feedback about the game need urgent help,Other,Website,28-06-2024,want give feedback game need urgent help
100200,I was?? charged twice for an in-game purchase happening for the last 3 days,Billing,Email,02-02-2024,charge twice game purchase happen last day
100201,<i>GAME-ON crashes every time... I try to start a match no response from support</i>,Technical Support,Chat,04-10-2024,game crash every time try start match response support
100202,<p>Unable<br>to log in to my GAME-ON account happening for the last 3 days</p>,Account Management,Phone,09-03-2024,unable log game account happen last day
100203,<p>Lost access to my account after recent## update no response from support</p>,Account Management,Phone,27-06-2024,lose access account recent update response support
100204,My account was banned without any explanation please resolve... asap,Account Management,Chat,14-05-2024,account ban without explanation please resolve asap
100205,Subscription<br>payment succeeded but premium features are locked## need urgent help,Billing,Chat,25-04-2024,subscription payment succeed premium feature lock need urgent help
100206,Password<br>reset email? is not arriving please resolve asap,Account Management,Chat,07-04-2024,password reset email arrive please resolve asap
100207,The game freezes during gameplay and! I lose progress this is unacceptable,Technical Support,Phone,04-07-2024,game freeze gameplay lose progress unacceptable
100208,I want? to give feedback about the game please resolve asap,Other,Email,20-07-2024,want give feedback game please resolve asap
100209,Someone<br>else accessed my GAME-ON account## no response from support,Account Management,Website,11-09-2024,someone else access game account response support
100210,Purchased skins are## not showing in my inventory please resolve asap,Product Issue,Email,18-01-2024,purchase skin show inventory please resolve asap
100211,Billing amount is higher than what was shown in the app happening for the last 3## days,Billing,Phone,05-09-2024,billing amount high show app happen last day
100212,<i>My account was banned without any explanation this? is unacceptable</i>,Account Management,Website,31-01-2024,account ban without explanation unacceptable
100213,<b>Unable<br>to log in to my GAME-ON account no response from support</b>,Account Management,Email,30-05-2024,unable log game account response support
100214,Achievements<br>are not unlocking as expected no?? response from support,Product Issue,Website,20-10-2024,achievement unlock expect response support
100215,"Progress is not saved after finishing levels happening for the last 3, days",Product Issue,Phone,10-04-2024,progress save finish level happen last day
100216,<i>Customer support is not responding to my tickets need urgent help</i>,Other,Phone,24-01-2024,customer support respond ticket need urgent help
100217,<p>Someone else accessed my GAME-ON account happening for the last 3. days</p>,Account Management,Email,27-05-2024,someone else access game account happen last day
100218,Money was deducted but game coins were not credited this is unacceptable,Billing,Email,26-02-2024,money deduct game coin credit unacceptable
100219,<i>Unexpected charges appeared on my GAME-ON account please resolve asap</i>,Billing,Email,10-10-2024,unexpected charge appear game account please resolve asap
100220,Unexpected<br>charges appeared on my GAME-ON account no response from support,Billing,Email,15-08-2024,unexpected charge appear game account response support
100221,<i>I<br>was charged twice for an in-game purchase happening for the last 3? days</i>,Billing,Phone,27-02-2024,charge twice game purchase happen last day
100222,I<br>was charged twice for an in-game... purchase happening for the last 3 days,Billing,Email,30-06-2024,charge twice game purchase happen last day
100223,<p>Password reset## email is not arriving happening for the last 3 days</p>,Account Management,Chat,05-01-2024,password reset email arrive happen last day
100224,I<br>was charged twice for an## in-game purchase happening for the last 3 days,Billing,Chat,05-06-2024,charge twice game purchase happen last day
100225,Account<br>progress disappeared. after logging in happening for the last 3 days,Account Management,Phone,28-02-2024,account progress disappear log happen last day
100226,"<p>Unable to connect to GAME-ON servers need, urgent help</p>",Technical Support,Chat,23-05-2024,unable connect game server need urgent help
100227,GAME-ON crashes every time I try to. start a match no response from support,Technical Support,Chat,25-03-2024,game crash every time try start match response support
100228,<i>Unable to log in to my GAME-ON account please resolve asap</i>,Account Management,Chat,11-05-2024,unable log game account please resolve asap
100229,Account progress disappeared## after logging in please resolve asap,Account Management,Website,17-09-2024,account progress disappear log please resolve asap
100230,<i>Daily challenges are missing in GAME-ON need urgent help</i>,Product Issue,Website,26-07-2024,daily challenge miss game need urgent help
100231,Money<br>was deducted but game coins? were not credited please resolve asap,Billing,Email,13-06-2024,money deduct game coin credit please resolve asap
100232,Poor<br>service and lack of proper support? please resolve asap,Other,Chat,29-01-2024,poor service lack proper support please resolve asap
100233,Unable to connect to GAME-ON servers please resolve asap,Technical Support,Phone,16-06-2024,unable connect game server please resolve asap
100234,Refund for cancelled purchase has not been? received please resolve asap,Billing,Phone,07-03-2024,refund cancel purchase receive please resolve asap
100235,<p>Matchmaking is unfair and places!! me with very high-level players no response from support</p>,Product Issue,Website,26-10-2024,matchmaking unfair place high level player response support
100236,I want to give feedback? about the game happening for the last 3 days,Other,Website,05-10-2024,want give feedback game happen last day
100237,Matchmaking is unfair and places me with very... high-level players happening for the last 3 days,Product Issue,Email,24-04-2024,matchmaking unfair place high level player happen last day
100238,The game freezes during gameplay and I lose progress please resolve asap,Technical Support,Phone,02-08-2024,game freeze gameplay lose progress please resolve asap
100239,Very<br>disappointed with the overall GAME-ON experience this is unacceptable,Other,Email,12-02-2024,disappointed overall game experience unacceptable
100240,Need clarification about? GAME-ON policies this is unacceptable,Other,Email,18-04-2024,need clarification game policy unacceptable
